"cases","Rt","Rt2","p1","lwr","upr"
5,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA
23,1.36734693877551,1.34367245657568,0.953592039508905,0.919330525643938,1.90564400604477
34,1.2089552238806,1.19469835466179,0.875937137123104,0.855799455277714,1.62698107474787
38,1.17283950617284,1.16160849772382,0.855053738112397,0.856134612210543,1.54315284984877
33,1.10526315789474,1.09662775616083,0.760754399508726,0.824166399710776,1.4316067927841
47,1.12380952380952,1.11574618096357,0.808511067440962,0.851574344198907,1.43725873141322
50,1.10169491525424,1.09476439790576,0.777397334915936,0.847614975795511,1.39236594512916
57,1.18461538461538,1.17745004757374,0.923222479955181,0.927097439378164,1.47603866106667
45,0.987012987012987,0.982703137570394,0.454425225012944,0.780815294266012,1.22065517323506
47,0.980263157894737,0.975957620211899,0.431263546347733,0.773923526136242,1.21435869577278
70,1.08724832214765,1.08187863674148,0.76982151710709,0.861379982204821,1.34213112839094
45,1,0.995791889824024,0.5,0.79651140635536,1.22967775548238
41,0.962962962962963,0.959066564651875,0.368090623919065,0.765360407410439,1.18652802569147
50,0.871794871794872,0.868546465448769,0.120489100864387,0.685562492954656,1.0843944255536
57,1.08823529411765,1.08234758871702,0.762145713451409,0.852482437336184,1.35573096658891
83,1.28378378378378,1.2765690376569,0.988997846388486,1.02506404358197,1.5730208754372
94,1.23157894736842,1.22632266492489,0.983857566335436,1.00888027423539,1.47787392935928
61,1.01709401709402,1.01407328730749,0.573102576865639,0.843420757224965,1.20905682999328
71,0.949579831932773,0.946997389033943,0.288552692535879,0.786192739677992,1.13066684527069
62,0.858407079646018,0.856239692138538,0.0589379871548574,0.703434985803023,1.03160357413647
57,0.979381443298969,0.976007677543186,0.419040909397813,0.795249914832514,1.18533104084116
32,0.794736842105263,0.792619203135206,0.017135023266647,0.636246182518232,0.974528695079997
62,1,0.995488105004102,0.5,0.789789264920246,1.23827662532453
41,0.894039735099338,0.890484003281378,0.171633794345859,0.701304720223674,1.11414727781474
51,1.14074074074074,1.13428047662695,0.868572057190618,0.89517199438812,1.41866484635601
64,1.01298701298701,1.00844730490748,0.54528026685795,0.802566534262563,1.25101878195314
54,1.08333333333333,1.07823669579031,0.764893498789869,0.862842065229038,1.33153371669036
49,0.988165680473373,0.984225972120323,0.456504203561171,0.790468093033568,1.21091393244434
88,1.1437125748503,1.1384558277654,0.898028171512042,0.920723135213828,1.39297285089141
84,1.15706806282723,1.15237166991553,0.930583081557201,0.945688775844337,1.39153248061831
73,1.10859728506787,1.10483417650365,0.867150179205401,0.917764263168083,1.31919919296217
49,0.840816326530612,0.838914256722476,0.0329363195211705,0.693911460455642,1.0044731794046
53,0.849514563106796,0.847197106690778,0.0558273070542168,0.688970930862458,1.02998903482545
35,0.782857142857143,0.780652019844082,0.0155069038448032,0.620087025223065,0.968663677011135
35,0.897810218978102,0.893857271906052,0.192191716587086,0.695625927918122,1.13014374518791
45,0.934959349593496,0.930150753768844,0.30169861849219,0.715806123661982,1.18792346551026
31,0.965217391304348,0.959720730397422,0.394898475133456,0.733578529700052,1.23322653890735
26,0.918918918918919,0.913793103448276,0.268297318531123,0.692378356864762,1.18270722029894
27,0.823529411764706,0.819226118500605,0.0927794524622881,0.607302310006254,1.07931287065447
29,0.976190476190476,0.968521229868228,0.438165341948014,0.707014281736037,1.29490012638389
28,1.02439024390244,1.01574212893553,0.561834658051986,0.741739624740384,1.35830334742827
34,1.08333333333333,1.07393850658858,0.702111771296322,0.790973904074694,1.42643629774337
44,1.16483516483516,1.15493910690122,0.85802611950181,0.86591855730072,1.51155664514658
50,1.20754716981132,1.19848661233993,0.925323758897397,0.920403745232321,1.53628893841035
54,1.15625,1.14927536231884,0.886131765622362,0.901865035582315,1.44484212295438
75,1.20945945945946,1.20292887029289,0.957082303419641,0.962853690688845,1.48608712181291
102,1.29050279329609,1.28447678447678,0.994976254057638,1.0527402003288,1.55361732402786
112,1.25108225108225,1.24663797740721,0.994585482612939,1.04537799700264,1.47632919660887
143,1.23529411764706,1.23181231166595,0.996314927693168,1.05217348452342,1.43401757416576
120,1.05042016806723,1.04830833623997,0.747202284491415,0.904637058598807,1.20833039463533
139,1.072,1.06991032879442,0.83378653078455,0.927332288544625,1.22827524209525
205,1.15422885572139,1.15199876045863,0.982517510591149,1.00597383642251,1.31352526181266
269,1.32112068965517,1.31869460112812,0.999997308769224,1.16710975287901,1.48507363458767
269,1.21207177814029,1.21047812817904,0.999795430727953,1.0863343145519,1.34516338126027
461,1.34454912516824,1.34298908480269,0.999999999603227,1.22018967083724,1.47516402058551
740,1.47147147147147,1.4701361989254,1,1.35573792959855,1.59199301885636
1112,1.5734693877551,1.57246623056665,1,1.47234360268298,1.67792388594441
1432,1.41980112408128,1.41925465838509,1,1.34532221105167,1.49632841020456
1521,1.2378197320341,1.23751093862953,1,1.1816069192182,1.29541838483158
1393,1.06912669126691,1.06893424733331,0.998909438421865,1.02395336392912,1.11537675906548
1509,1.01771744132536,1.01755369619598,0.794551666621538,0.975620012261693,1.06080976832557
2520,1.22586479764865,1.22563921457833,1,1.17770780983748,1.27504816727696
3912,1.46458871265216,1.46434415838846,1,1.4144696127126,1.51559084498137
4299,1.35134114091424,1.3511937550166,1,1.31243453429852,1.39083597718011
5172,1.24713447022645,1.2470387495778,1,1.21567632225448,1.27901787377705
4405,1.03683777927221,1.03678262899837,0.998587392325679,1.01238083379124,1.06161941704399
3679,0.955318535601038,0.955273421666562,8.35309364639603e-05,0.932733042601859,0.978211088626716
3978,0.90992757996379,0.909885063973826,3.06421554796543e-14,0.887646332932372,0.932526691585886
3200,0.900099485989057,0.900053882101816,8.88178419700125e-16,0.87693688846803,0.923610561133133
2831,0.921893709127752,0.921840284572968,2.16011097897706e-09,0.897052346423578,0.947124301451651
2263,0.828654211209911,0.828609068091855,0,0.804746364699219,0.852974588404577
1644,0.812394502049674,0.812342721094586,0,0.786530663134536,0.838754115456856
1460,0.796527159394479,0.796466660484095,0,0.768271532921138,0.825390567760688
919,0.74958077138066,0.749516846345496,0,0.71932397833274,0.780591467297986
687,0.762117822520507,0.76202826525858,0,0.72681899391338,0.798425512370629
430,0.664057403783431,0.663983862423082,0,0.627501348103785,0.701903857123562
357,0.723968565815324,0.723817412111172,0,0.67644472603574,0.773465403169126
