"SE","start","end","cases","Rt","Rt2","p1","lwr","upr"
28,"1996-07-15","1996-07-21",21,0.67816091954023,0.675388967468175,0.00987046993151286,0.477997929799385,0.922933338853741
29,"1996-07-22","1996-07-28",9,0.694915254237288,0.69047619047619,0.0349502868474731,0.453816231279424,1.00133042405425
30,"1996-07-29","1996-08-04",3,0.804878048780488,0.794985250737463,0.174590919085295,0.490249241418956,1.2144023286793
31,"1996-08-05","1996-08-11",6,0.545454545454545,0.543636363636364,0.0164195687821342,0.292070322755542,0.908756930399148
32,"1996-08-12","1996-08-18",4,0.722222222222222,0.706451612903226,0.180797304026783,0.326522311171294,1.3172050828517
33,"1996-08-19","1996-08-25",47,4.38461538461539,4.01304347826087,0.999999981288753,2.22296896531876,6.96223506235434
34,"1996-08-26","1996-09-01",4,0.964912280701754,0.953961456102784,0.424775093657227,0.648782813635846,1.35287510674952
35,"1996-09-02","1996-09-08",9,1.09090909090909,1.07649667405765,0.680115315678525,0.736686318040676,1.52153406005797
36,"1996-09-09","1996-09-15",11,0.4,0.40224032586558,2.98679781930433e-05,0.241387026306108,0.618354066440525
37,"1996-09-16","1996-09-22",16,1.5,1.44581280788177,0.941261324877471,0.848264792793308,2.32957364540332
38,"1996-09-23","1996-09-29",3,0.833333333333333,0.821070234113712,0.228510392705295,0.49230157111365,1.28231648897704
39,"1996-09-30","1996-10-06",4,0.766666666666667,0.754980079681275,0.165874881684746,0.423476905496455,1.23605408154065
40,"1996-10-07","1996-10-13",6,0.565217391304348,0.561538461538462,0.0447655394673349,0.267242069612742,1.01786534225557
41,"1996-10-14","1996-10-20",7,1.30769230769231,1.2304347826087,0.77087084017694,0.578809370635448,2.32580430081366
42,"1996-10-21","1996-10-27",2,0.882352941176471,0.853741496598639,0.360050065908581,0.406523846026197,1.57393760576025
43,"1996-10-28","1996-11-03",2,0.733333333333333,0.713740458015267,0.212178111076355,0.306672906644071,1.39444253147708
44,"1996-11-04","1996-11-10",4,0.727272727272727,0.702020202020202,0.240341186523438,0.258985632724181,1.50044126456
45,"1996-11-11","1996-11-17",3,1.125,1.03333333333333,0.598190307617187,0.376578949819973,2.28308604777494
