SE,start,end,cases
201223,2012-06-03,2012-06-09,3041
201224,2012-06-10,2012-06-16,2448
201225,2012-06-17,2012-06-23,1709
201226,2012-06-24,2012-06-30,1226
201227,2012-07-01,2012-07-07,924
201228,2012-07-08,2012-07-14,604
201229,2012-07-15,2012-07-21,450
201230,2012-07-22,2012-07-28,333
201231,2012-07-29,2012-08-04,469
201232,2012-08-05,2012-08-11,403
201233,2012-08-12,2012-08-18,424
201234,2012-08-19,2012-08-25,341
201235,2012-08-26,2012-09-01,231
201236,2012-09-02,2012-09-08,167
201237,2012-09-09,2012-09-15,194
201238,2012-09-16,2012-09-22,181
201239,2012-09-23,2012-09-29,144
201240,2012-09-30,2012-10-06,155
201241,2012-10-07,2012-10-13,138
201242,2012-10-14,2012-10-20,170
201243,2012-10-21,2012-10-27,169
201244,2012-10-28,2012-11-03,155
201245,2012-11-04,2012-11-10,159
201246,2012-11-11,2012-11-17,129
201247,2012-11-18,2012-11-24,146
201248,2012-11-25,2012-12-01,191
201249,2012-12-02,2012-12-08,185
201250,2012-12-09,2012-12-15,198
201251,2012-12-16,2012-12-22,169
201252,2012-12-23,2012-12-29,167
201301,2012-12-30,2013-01-05,412
201302,2013-01-06,2013-01-12,706
201303,2013-01-13,2013-01-19,727
201304,2013-01-20,2013-01-26,910
201305,2013-01-27,2013-02-02,1087
201306,2013-02-03,2013-02-09,1030
201307,2013-02-10,2013-02-16,1353
201308,2013-02-17,2013-02-23,2501
201309,2013-02-24,2013-03-02,2979
201310,2013-03-03,2013-03-09,3073
201311,2013-03-10,2013-03-16,4107
201312,2013-03-17,2013-03-23,4090
201313,2013-03-24,2013-03-30,3895
201314,2013-03-31,2013-04-06,5116
201315,2013-04-07,2013-04-13,5115
201316,2013-04-14,2013-04-20,4240
201317,2013-04-21,2013-04-27,2989
201318,2013-04-28,2013-05-04,2847
201319,2013-05-05,2013-05-11,1935
201320,2013-05-12,2013-05-18,1274
201321,2013-05-19,2013-05-25,963
201322,2013-05-26,2013-06-01,571
201323,2013-06-02,2013-06-08,468
201324,2013-06-09,2013-06-15,383
201325,2013-06-16,2013-06-22,294
201326,2013-06-23,2013-06-29,235
201327,2013-06-30,2013-07-06,186
201328,2013-07-07,2013-07-13,137
201329,2013-07-14,2013-07-20,124
201330,2013-07-21,2013-07-27,62
201331,2013-07-28,2013-08-03,79
201332,2013-08-04,2013-08-10,58
201333,2013-08-11,2013-08-17,43
201334,2013-08-18,2013-08-24,53
201335,2013-08-25,2013-08-31,35
201336,2013-09-01,2013-09-07,46
201337,2013-09-08,2013-09-14,54
201338,2013-09-15,2013-09-21,39
201339,2013-09-22,2013-09-28,63
201340,2013-09-29,2013-10-05,46
201341,2013-10-06,2013-10-12,44
201342,2013-10-13,2013-10-19,47
201343,2013-10-20,2013-10-26,58
201344,2013-10-27,2013-11-02,54
201345,2013-11-03,2013-11-09,38
201346,2013-11-10,2013-11-16,42
201347,2013-11-17,2013-11-23,65
201348,2013-11-24,2013-11-30,88
201349,2013-12-01,2013-12-07,92
201350,2013-12-08,2013-12-14,62
201351,2013-12-15,2013-12-21,25
201352,2013-12-22,2013-12-28,3
201401,2013-12-29,2014-01-04,69
201402,2014-01-05,2014-01-11,121
201403,2014-01-12,2014-01-18,103
201404,2014-01-19,2014-01-25,103
201405,2014-01-26,2014-02-01,91
201406,2014-02-02,2014-02-08,86
201407,2014-02-09,2014-02-15,84
201408,2014-02-16,2014-02-22,78
201409,2014-02-23,2014-03-01,52
201410,2014-03-02,2014-03-08,61
201411,2014-03-09,2014-03-15,50
201412,2014-03-16,2014-03-22,68
201413,2014-03-23,2014-03-29,60
201414,2014-03-30,2014-04-05,62
201415,2014-04-06,2014-04-12,66
201416,2014-04-13,2014-04-19,57
201417,2014-04-20,2014-04-26,52
201418,2014-04-27,2014-05-03,63
201419,2014-05-04,2014-05-10,64
201420,2014-05-11,2014-05-17,64
201421,2014-05-18,2014-05-24,53
201422,2014-05-25,2014-05-31,39
201423,2014-06-01,2014-06-07,45
201424,2014-06-08,2014-06-14,42
201425,2014-06-15,2014-06-21,41
201426,2014-06-22,2014-06-28,34
201427,2014-06-29,2014-07-05,39
201428,2014-07-06,2014-07-12,24
201429,2014-07-13,2014-07-19,25
201430,2014-07-20,2014-07-26,24
201431,2014-07-27,2014-08-02,40
201432,2014-08-03,2014-08-09,29
201433,2014-08-10,2014-08-16,2
