"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
200952,NA,"AP1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
201001,NA,"AP1",1,"galeao",28.65,2.78714285714286,25.1428571428571,33.4285714285714,73.7485714285714,12.18,51.7142857142857,89.7142857142857
201002,NA,"AP1",0,"galeao",29.0542857142857,3.25285714285714,24.7142857142857,34.5714285714286,70.3557142857143,13.7171428571429,46.5714285714286,90.7142857142857
201003,NA,"AP1",0,"galeao",28.36,3.5,23.8571428571429,34.5714285714286,71.2785714285714,13.6771428571429,45.8571428571429,88.2857142857143
201004,NA,"AP1",2,"galeao",27.72,3.15714285714286,24,33.4285714285714,73.2014285714286,12.5728571428571,47.8571428571429,88.7142857142857
201005,NA,"AP1",1,"galeao",30.04,3.83571428571429,25.1428571428571,36.4285714285714,63.7314285714286,15.6885714285714,38.1428571428571,85.2857142857143
201006,NA,"AP1",5,"galeao",30.16,3.97,25,36.8571428571429,61.5957142857143,16.4714285714286,33.7142857142857,84.7142857142857
201007,NA,"AP1",3,"galeao",28.5857142857143,3.15571428571429,24.5714285714286,34.2857142857143,68.6157142857143,13.7057142857143,44.4285714285714,87.2857142857143
201008,NA,"AP1",6,"galeao",27.7771428571429,2.89571428571429,23.8571428571429,33,71.3571428571429,12.2985714285714,51,89
201009,NA,"AP1",3,"galeao",23.4871428571429,1.61714285714286,21.7142857142857,26.5714285714286,85.8557142857143,7.19428571428571,72.5714285714286,93.2857142857143
201010,NA,"AP1",3,"galeao",27.6085714285714,3.27,23.7142857142857,34,72.9814285714286,13.1142857142857,46.1428571428571,90.4285714285714
201011,NA,"AP1",2,"galeao",26.1871428571429,2.79142857142857,22.5714285714286,31.1428571428571,79.6385714285714,12.5285714285714,56.4285714285714,94.8571428571429
201012,NA,"AP1",5,"galeao",27.6371428571429,3.18142857142857,23.5714285714286,33.1428571428571,74.5671428571429,13.4657142857143,50.1428571428571,91.8571428571429
201013,NA,"AP1",4,"galeao",26.4371428571429,2.49714285714286,23.2857142857143,31.1428571428571,79.7642857142857,11.1757142857143,58.2857142857143,94.8571428571429
201014,NA,"AP1",4,"galeao",22.4728571428571,1.83142857142857,20,26,84.7271428571429,8.63142857142857,67.2857142857143,94.8571428571429
201015,NA,"AP1",2,"galeao",23.7542857142857,2.97571428571429,19.7142857142857,29,76.71,12.8057142857143,51,93.1428571428571
201016,NA,"AP1",1,"galeao",26.5571428571429,3.12714285714286,22.4285714285714,32.1428571428571,73.9485714285714,14.1485714285714,46.8571428571429,92.5714285714286
201017,NA,"AP1",10,"galeao",24.3271428571429,2.38285714285714,21.2857142857143,28.4285714285714,78.5528571428571,11.6428571428571,56.8571428571429,93.2857142857143
201018,NA,"AP1",7,"galeao",25.0671428571429,3.44,20.7142857142857,31.1428571428571,73.7542857142857,15.1285714285714,45.2857142857143,92.2857142857143
201019,NA,"AP1",8,"galeao",21.58,2.25285714285714,18.5714285714286,25.5714285714286,78.5528571428571,11.4085714285714,56.7142857142857,94
